Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,Σ Progress,Σ Time Spent,Σ Remaining Estimate,Σ Original Estimate,Labels,Acceptance criteria,Deployment Environment,Target end,Time to SLA,Original story points,Sprint,Categorize,Story Points,Team,Overdue Status,Program Increment,Start date,End date,Baseline start date,Baseline end date,Task mode,Task progress,Risk probability,Risk consequence,Planned Start,Development,Rank,Epic Link,GtmhubObjectID,Parent Link,Actor,Flagged,Target start,Team,Account,Iteration,Planned End,Structure Index Monitor,Team Role
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22401,BIDVOMNI-14041 [AND] Thanh toán hóa đơn,Sub-bug,Need To Do,Highest,Unresolved,"Khánh, Nguyễn Công (KCN, PTUDDD)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",08/Apr/25 2:50 PM,,08/Apr/25 2:58 PM,,,,Thanh toán hóa đơn,,0,1,_thumb_203617.png _thumb_203618.png,,,,,,BIDVOMNI-22395,,"Step:
# Tại màn khởi tạo chọn loại dịch vụ mã thẻ cào> mua mã thẻ cào mobiphone
# Chọn/nhập thông tin, thực hiện thanh toán thành công
# Kiểm tra hiển thị màn hình kết quả

*KQTT:*
* Không hiển thị trường loại dịch vụ
* Thừa trường mã khách hàng, số tiền, phí giao dịch
* chưa hiển thị cụm thông tin thẻ cào

*KQMM:* Đối với loại dịch vụ Mua thẻ cào (ServerviceTypeID = 70) gồm các thông tin:
* Loại dịch vụ: lấy tên loại dịch vụ thực hiện TTHĐ trong cache MID 151 hoặc cache danh sách Dịch vụ TTHĐ từ MID 147
* Các thông tin thẻ cào: serial và pincode trong output MID 122",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0q9fk:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22298,BIDVOMNI-17099 (AND) [Phát hành thẻ GNNĐ] Chưa truyền đúng đủ thông tin ở mid khởi tạo 578 với TH nhận thẻ vật lý tại ĐC thường trú/hiện tại/liên hệ,Sub-bug,Need To Do,Highest,Unresolved,"Yến, Lê Bảo (KCN, PTUDDD)","Ngân, Nguyễn Kim (KCN, PTNV)","Ngân, Nguyễn Kim (KCN, PTNV)",04/Apr/25 3:39 PM,,04/Apr/25 5:22 PM,,,,Phát hành thẻ GNDĐ,,0,1,_thumb_203133.png,,,,,,,,"*KQ thực tế:*
* Chưa truyền đủ thông tin ở mid khởi tạo 578 với TH nhận thẻ vật lý tạiĐC thường trú/hiện tại/liên hệ
** Chưa truyền trường primaryAddress khi user chọn nhận tại Địa chỉ thường trú
*** Truyền sai payCardAddType khi user nhấn chỉnh sửa ở ĐC thường trú
** Chưa truyền trường homeAddress khi user chọn nhận tại Địa chỉ hiện tại
** Chưa truyền trường mailingAddress khi user chọn nhận tại Địa chỉ liên hệ
** Chưa truyền trường payCardprName, payCardDTName khi chọn nhận tại ĐC thường trú/hiện tại/liên hệ

*KQ mong muốn:*
* Truyền đủ thông tin như mô tả

!image-2025-04-04-15-39-27-676.png|width=551,height=471!",,,,,,,Logic,,,,,,Chuyển đổi core thẻ,,,,,,,,,,Auto bottom up,,,,,,1|i0q6ww:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21999,BIDVOMNI-14041 [AND] Thanh toán hóa đơn,Sub-bug,Need To Do,Highest,Unresolved,"Khánh, Nguyễn Công (KCN, PTUDDD)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",31/Mar/25 11:39 AM,,31/Mar/25 1:54 PM,,,,Thanh toán hóa đơn,,0,1,_thumb_202091.png _thumb_202095.png _thumb_202096.png _thumb_202097.png,,,,,,"BIDVOMNI-21995, BIDVOMNI-22006",,"Step:
# Tại màn hình thanh toán hóa đơn
# Chọn loại dịch vụ , dịch vụ bất kỳ
# Kiểm tra validate thanh toán định kỳ, popup chọn ngày

*KQTT:* 
* ko hiển thị mặc định ngày hiện tại
* popup chọn ngày sai font chữ, icon < ko có action, nhấn chọn năm, tháng k có action

*KQMM:* 
* Hiện thị mặc định ngày hiện tại
* Popup hiện thị các text đúng font BIDV
* nhấn icon < có action
* Nhấn chọn năm > hiển thị màn tháng, chọn tháng hiển thị màn chọn ngày",,,,,,,Design,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pwb4:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21995,BIDVOMNI-14041 [AND] Thanh toán hóa đơn,Sub-bug,Need To Do,Highest,Unresolved,"Khánh, Nguyễn Công (KCN, PTUDDD)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",31/Mar/25 11:04 AM,,31/Mar/25 11:39 AM,,,,Thanh toán hóa đơn,,0,1,,,,,,,"BIDVOMNI-21999, BIDVOMNI-21990",,"Step:
# Tại màn hình thanh toán hóa đơn
# Chọn loại dịch vụ , dịch vụ bất kỳ
# Kiểm tra validate trường số tiền

*KQTT:* 
* Không có gợi ý số tiền
* {color:#172b4d}Dán đoạn text trên 12 ký tự -> crash app{color}

*KQMM:* 
* Có gợi ý số tiền
* Dán text trên 12 ký tự -> k cho dán",,,,,,,Design,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pw2g:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21937,BIDVOMNI-14041 [AND] Thanh toán hóa đơn,Sub-bug,Need To Do,Highest,Unresolved,"Khánh, Nguyễn Công (KCN, PTUDDD)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",29/Mar/25 5:04 PM,,31/Mar/25 9:18 AM,,,,Thanh toán hóa đơn,,0,1,_thumb_201866.png _thumb_201867.png _thumb_201870.png,,,,,,"BIDVOMNI-21931, BIDVOMNI-21967",,"Step:
# Thực hiện thanh toán hóa đơn A ( "" MUA MA THE CAO"" MUA MA THE CAO MOBIFONE) serviceTypeId = 70
# Kiểm tra xử lý màn hình kết quả

*KQTT:* Không hiển thị màn hình kết quả với Mã thẻ cào và Serial 

*KQMM:* Giải mã thành công → hiển thị kết quả với Mã thẻ cào và Serial đã giải mã thành công",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pv2o:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21931,BIDVOMNI-14041 [AND] Thanh toán hóa đơn,Sub-bug,Need To Do,Highest,Unresolved,"Khánh, Nguyễn Công (KCN, PTUDDD)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",29/Mar/25 4:38 PM,,29/Mar/25 5:04 PM,,,,Thanh toán hóa đơn,,0,1,_thumb_201864.png,,,,,,"BIDVOMNI-21937, BIDVOMNI-21924",,"Step:
# Thực hiện thanh toán hóa đơn I2 ( TIEN DIEN 01D017 1 ky no cuoc khong khop dung thanh cong 8660008778)
# Kiểm tra xử lý màn hình kết quả

*KQTT:* Mid 33 k thấy gọi tham số cần

{*}input lúc login{*}: 2025-03-29 16:36:58,940 INFO [ RequestWrapper] [ 194] [888219642713443] [0976343778] [mid33] - Request: \{""codes"":""SEARCH_POPULAR"",""appVersion"":""5.2.99"",""attachedRoot"":""0"",""branchCode"":""990000"",""cifNo"":""21107437"",""clientId"":1081893,""devicetype"":""Android"",""function"":""3"",""isHook"":""0"",""isRoot"":""0"",""lang"":""vi"",""mid"":33,""sessionId"":""******"",""source"":""MB"",""user"":""0976343778"",""DT"":""ANDROID"",""E"":""###a85df2f31ecdcafd###00000000-4812-884b-ffff-ffffef05ac4a"",""PM"":""CPH2651"",""OV"":""35"",""PS"":""IS_SAFE"",""ATS"":""25:03:29:09:30:17"",""mainColor"":""5C332B"",""incremental"":""3aee88e54e220b03e20b5a76f49f247e470daa650e08b638bf459c4bd57c44f1d1c0c621ef03c2b678495063c01e3a5803c4c28b09206caeb4bed079697e153c"",""c"":""3383932303937363334333737383235303332393039333635372"",""ads"":690,""requestId"":""888219642713443"",""clientKeyId"":""0001081829"",""initSource"":""MB"",""clientIP"":""14.248.80.31"",""mainColorTime"":""250329093657""}

*KQMM:* TH ko có cache thì thực hiện gọi lại mid 33 lấy tham số cần để check hiển thi lưu mẫu",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pv0w:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21599,BIDVOMNI-14048 [IB][Nộp thay][MH: Kết quả ]: Check hiển thị khi click vào Danh sách khoản nộp,Sub-bug,Need To Do,Highest,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",26/Mar/25 2:12 PM,,26/Mar/25 2:16 PM,,,,Nộp thuế,,0,1,_thumb_201093.png,,,,,,"BIDVOMNI-21600, BIDVOMNI-21598",,"1. Tại màn hình Kết quả
2. Click vào Danh sách khoản nộp
KQMM: Hiển thị đúng như thiết kế gồm:
Khoản nộp
Tên khoản nộp
Mã chương
Cơ quan thu
Số tiền nộp
Số QĐ
Chỉ hiển thị khi có kết quả
Ngày QĐ
Chỉ hiển thị khi có kết quả
Nếu từ 2 khoản nộp trở lên thì hiển thị group thông tin theo từng khoản nộp
Các khoản nộp được đánh số tương ứng với thứ tự khoản nộp: Khoản nộp 1, Khoản nộp 2....
KQTT: đang hiển thị sai so với thiết kế
- Thiếu Tên khoản nộp/Ngày QĐ
- Thứ tự sắp xếp không đúng",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pmhc:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21436,BIDVOMNI-13273 [AND][Đăng nhập khác thiết bị] Check khi thực hiện ĐN thiết bị khi bị out phiên ĐN,Sub-bug,Need To Do,Highest,Unresolved,Vượng Phan,"Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",24/Mar/25 4:38 PM,,24/Mar/25 4:40 PM,,,,ĐN khác thiết bi,,0,1,,,,,,,,,"1. Thực hiện ĐN thành công user A trên Thiết bị A
2. Thực hiện ĐN Thành công User A trên thiết bị B
3. Thực hiện 1 req lên server tại thiết bị A
4. Vào màn ĐN>> Thực hiện ĐN
5. Đến màn Xác thực thông tin nhập OTP
6.Nhấn Button Tiếp tục
KQMM: Thực hiện theo luồng ĐN khác thiết bị
KQTT: Đang hiển thị thông báo: Yêu cầu không thực hiện được trong lúc này Quý khách vui lòng thực hiện lại sau.",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0phrc:,,,,,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-20566,BIDVOMNI-14048 [IOS][Nộp thuế chính chủ][MH: kết quả]: Check khi nhấn Giao dịch mới,Sub-bug,Need To Do,Highest,Unresolved,"Duy, Trần Cao (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",13/Mar/25 10:32 AM,,13/Mar/25 10:32 AM,,,,Nộp thuế,,0,1,,,,,,,BIDVOMNI-20563,,"1. Tại màn hình Kết quả
2. Nhấn Giao dịch mới
KQMM: Nhấn để thực hiện truy cập lại chức năng (Hiển thị màn Thông tin nợ thuế)
KQTT: Đang không vào màn Thông tin nợ thuế",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0ov20:,,,,IOS,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-19851,BIDVOMNI-13842 [IOS][Rút tiết kiệm] :Check hiển thị popup Rút trước ngày đến hạn,Sub-bug,Need To Do,Highest,Unresolved,"Duy, Trần Cao (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",27/Feb/25 11:46 AM,,27/Feb/25 11:49 AM,,,,Menu tiết kiêm,,0,1,,,,,,,BIDVOMNI-19846,,"Rút toàn bộ
Step:
1. Tại màn hình Rút tiết kiệm online
2. Nhập/chọn đúng đủ các trường
3. Chọn Rút toàn bộ
4. Nhấn Button Tiếp tục
KQMM: Hiển thị popup Rút trước ngày đến hạn
KQTT: Đang không hiển thị popup Rút trước ngày đến hạn",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0o5q8:,,,,IOS,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22574,BIDVOMNI-14043 [IB] Mẫu thanh toán,Sub-bug,Need To Do,High,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)","Linh, Đinh Thị Thảo (KCN, PTNV)","Linh, Đinh Thị Thảo (KCN, PTNV)",10/Apr/25 11:08 AM,,11/Apr/25 8:38 AM,,,,Mẫu thanh toán,,0,1,,,,,,,"BIDVOMNI-22577, BIDVOMNI-22570",,"Step:
# Tại màn hình mẫu thanh toán
# Nhấn xem chi tiết 1 mẫu thanh toán
# Nhấn “Đăng ký thanh toán hóa đơn định kỳ""

*KQTT:* Hiển thị màn hình trang chủ IB

*KQMM:* Hiển thị màn hình khởi tạo Đăng ký thanh toán hóa đơn định kỳ",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qeww:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22618,BIDVOMNI-17128 [AND] Đăng ký trả góp: Chưa có button Đăng ký trả góp tại MH lịch sử giao dịch,Sub-bug,Need To Do,High,Unresolved,"Tùng, Hồ Diên (KCN, PTUDDD)","Thảo, Nguyễn Thị Phương (KCN, PTNV)","Thảo, Nguyễn Thị Phương (KCN, PTNV)",10/Apr/25 5:02 PM,,10/Apr/25 5:16 PM,,,,Đăng ký trả góp thẻ tín dụng,,0,1,_thumb_204260.png,,,,,,,,"Thực hiện: Tại MH lịch sử giao dịch, check hiển thị button đăng ký trả góp

KQTT: Chưa hiển thị button đăng ký trả góp với các TH đủ điều kiện đky trả góp

KQMM: Hiển thị button đăng ký trả góp theo điều kiện",,,,,,,,,,,,,Chuyển đổi core thẻ,,,,,,,,,,Auto bottom up,,,,,,1|i0qh94:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22602,BIDVOMNI-14045 [IB][Thanh toán hóa đơn định kỳ] Không hiển thị popup thông báo không lấy được danh sách tài khoản luồng đăng ký mới,Sub-bug,Need To Do,High,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)",Anh Mai Huyền,Anh Mai Huyền,10/Apr/25 3:39 PM,,10/Apr/25 4:16 PM,,,,Thanh toán hóa đơn định kỳ,,0,1,,,,,,,"BIDVOMNI-22603, BIDVOMNI-22613, BIDVOMNI-22547",,"*Điều kiện:* Kiểm tra nhận kết quả gọi lấy danh sách tài khoản
- Không thành công: Server trả về lỗi khác T8

*Steps:*

1. MH Danh sách lệnh thanh toán định kỳ
2. Chọn icon +

*KQTT:* Không hiển thị pupup thông báo

*KQMM:* Hiển thị Hiển thị popup thông báo theo des trả về
- Button Đóng -> Đóng popup, quay về màn hình trước đó

2025-04-10 15:25:53,028 INFO [ RequestResponseLoggingFilter] [ 184] [152552642624529] [0982851920] [mid10] - Response: \{""mid"":10,""code"":""01"",""codeFull"":""LIST-ACC-01"",""des"":""Đã xảy ra lỗi trong quá trình gọi lấy danh sách tài khoản. Quý khách vui lòng thử lại"",""ipServer"":""10.22.18.8:8188"",""el"":""2"",""requestId"":""152552642624529"",""showDes"":false,""messages"":[],""success"":false}",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qgm0:,,,,Web Frontend,,,None,None,None,,,None
